time-date stamp,Date,"ERCOT Load, MW","Total Wind Output, MW","Total Wind Installed, MW","Wind Output, % of Load","Wind Output, % of Installed",1-hr MW change,1-hr % change
01/11/2018 22:00:00,Jan-11,46421,11336,21428,24.4,52.9,-17.5,-0.154516392
01/11/2018 23:00:00,Jan-11,44748,10163,21428,22.7,47.4,-1172.8,-10.34568698
01/12/2018 00:00:00,Jan-12,43517,8899,21428,20.4,41.5,-1264.0,-12.43739227
01/12/2018 01:00:00,Jan-12,43110,7699,21428,17.9,35.9,-1199.9,-13.48318071
01/12/2018 02:00:00,Jan-12,43542,7432,21428,17.1,34.7,-267.6,-3.476218266
01/12/2018 03:00:00,Jan-12,44213,7432,21428,16.8,34.7,0.7,0.009802959
01/12/2018 04:00:00,Jan-12,45380,6698,21428,14.8,31.3,-734.3,-9.879303378
01/12/2018 05:00:00,Jan-12,47535,5791,21428,12.2,27.0,-906.6,-13.53535817
01/12/2018 06:00:00,Jan-12,51835,6000,21428,11.6,28.0,208.7,3.603295908
01/12/2018 07:00:00,Jan-12,56139,6422,21428,11.4,30.0,422.1,7.034462285
01/12/2018 08:00:00,Jan-12,55649,6511,21428,11.7,30.4,89.2,1.388377798
01/12/2018 09:00:00,Jan-12,54076,5721,21428,10.6,26.7,-790.8,-12.14563125
01/12/2018 10:00:00,Jan-12,52104,4923,21428,9.4,23.0,-797.4,-13.93904952
01/12/2018 11:00:00,Jan-12,49792,4419,21428,8.9,20.6,-504.1,-10.23846844
01/12/2018 12:00:00,Jan-12,47422,4499,21428,9.5,21.0,79.6,1.800760175
01/12/2018 13:00:00,Jan-12,45167,5033,21428,11.1,23.5,534.8,11.88753648
01/12/2018 14:00:00,Jan-12,43005,4566,21428,10.6,21.3,-467.5,-9.288835914
01/12/2018 15:00:00,Jan-12,41559,3332,21428,8.0,15.5,-1234.2,-27.03066981
01/12/2018 16:00:00,Jan-12,40965,2467,21428,6.0,11.5,-864.4,-25.94488159
01/12/2018 17:00:00,Jan-12,41510,2414,21428,5.8,11.3,-53.5,-2.169898659
01/12/2018 18:00:00,Jan-12,44847,3365,21428,7.5,15.7,951.5,39.42132896
01/12/2018 19:00:00,Jan-12,46366,5384,21428,11.6,25.1,2018.8,59.98998277
01/12/2018 20:00:00,Jan-12,46932,6929,21428,14.8,32.3,1544.7,28.68926066
01/12/2018 21:00:00,Jan-12,47001,7603,21428,16.2,35.5,674.2,9.730539882
01/12/2018 22:00:00,Jan-12,46407,8188,21428,17.6,38.2,584.8,7.691813182
01/12/2018 23:00:00,Jan-12,45366,7489,21428,16.5,34.9,-699.0,-8.536590966
01/13/2018 00:00:00,Jan-13,44356,6956,21428,15.7,32.5,-532.8,-7.114067643
